iter	RMSE	MAE
0	0.4269320468	0.3373114574
1	0.4152604883	0.3246439477
2	0.4052439541	0.3134264252
3	0.3967869558	0.3034982419
4	0.3887585725	0.2941092514
5	0.3815114356	0.2853130235
6	0.3758956874	0.2781802355
7	0.3708571277	0.2714653831
8	0.3662988851	0.2653523172
9	0.363026023	0.2606951269
10	0.3597355958	0.2563116532
11	0.3570730423	0.252824545
12	0.354779701	0.2495815327
13	0.3530506943	0.2468659995
14	0.3513102028	0.2441114145
15	0.3498326397	0.2417815486
16	0.3485218755	0.2396065051
17	0.3473643342	0.23790044
18	0.3463517783	0.2364253584
19	0.3454075159	0.2350429972
20	0.3446642337	0.2339054997
21	0.3439326408	0.2329512348
22	0.3433699682	0.2321098212
23	0.3428821393	0.2313793211
24	0.3425355273	0.2307523589
25	0.3422309583	0.2301920146
26	0.341892701	0.2296200828
27	0.3416462848	0.2291307979
28	0.3414679609	0.2287197926
29	0.3413318426	0.2283248142
30	0.3412123639	0.2279842017
31	0.3409948865	0.2276535686
32	0.3408001009	0.227348617
33	0.3406671576	0.2270901094
34	0.3406902149	0.2269137544
35	0.3406038367	0.2267790223
36	0.3405076591	0.2265279897
37	0.3404121458	0.226334086
38	0.3403898328	0.2261514572
39	0.3403727482	0.2260231535
40	0.3402809553	0.2258232089
41	0.3401962152	0.2256607957
42	0.3401878235	0.2255067186
43	0.3400863943	0.2253437602
44	0.3399955926	0.225191096
45	0.3399345036	0.2250842959
46	0.3398786961	0.224979578
47	0.339837878	0.2249022381
48	0.3398236484	0.2248390259
49	0.3398907319	0.2248065689
50	0.3397778432	0.2247070294
51	0.339618546	0.2245671601
52	0.3396174825	0.2244953333
53	0.3395769841	0.2243972803
54	0.3395146793	0.2242905058
55	0.3394381784	0.2241757934
56	0.3394030846	0.2241117886
57	0.3393836725	0.2240302485
58	0.339352652	0.2239592746
59	0.3392944943	0.2238866213
60	0.3392957481	0.2238513658
61	0.3392507546	0.2237708095
62	0.3392499744	0.2237359561
63	0.3391964853	0.223670519
64	0.3390985535	0.2235658199
65	0.3390363121	0.2235020397
66	0.339013917	0.2234650023
67	0.3389714568	0.2234242056
68	0.3389107974	0.2233574133
69	0.3388267641	0.2232509375
70	0.3387688198	0.2231629075
71	0.3387450166	0.223118354
72	0.3387517305	0.2230784067
73	0.3387421714	0.2230339542
74	0.3386946947	0.2229344454
75	0.3386946854	0.2229064938
76	0.3386349834	0.2228609233
77	0.3386056931	0.2228473425
78	0.3385357937	0.2227604883
79	0.3385024328	0.2227109117
80	0.3384812856	0.2226481656
81	0.3384043003	0.2225894258
82	0.3382959135	0.2225344191
83	0.3381906074	0.2224757427
84	0.3381638474	0.2224282336
85	0.3380461065	0.2223588391
86	0.3379672238	0.2223016665
87	0.337967217	0.2222802824
88	0.3379329949	0.222226369
89	0.3378944199	0.2221637648
90	0.3378794367	0.2221095474
91	0.337856964	0.2220820525
92	0.3378395276	0.222040395
93	0.3378087318	0.2219918061
94	0.3377873903	0.2219680024
95	0.337775761	0.2219397776
96	0.33774966	0.2218965061
97	0.3376985521	0.2218576551
98	0.3376839914	0.2218347971
99	0.3376668507	0.2218101875
100	0.3376541638	0.2217646228
101	0.3376587959	0.2217399778
102	0.3376543457	0.2217153576
103	0.3376450686	0.2216990089
104	0.3376489791	0.2216840412
105	0.3375450259	0.2216392537
106	0.3375396246	0.2215906476
107	0.337517304	0.22155537
108	0.3374350369	0.2214560844
109	0.337395977	0.2213875315
110	0.3374081345	0.2213707836
111	0.3373815472	0.2213060493
112	0.33735103	0.221253517
113	0.3373242035	0.2212068021
114	0.3373105604	0.2211763849
115	0.3372698945	0.2210979465
116	0.3372003912	0.2210269805
117	0.3371804895	0.2210082376
118	0.3371850877	0.2210016589
119	0.3371124704	0.220950018
120	0.337090277	0.2209139345
121	0.3370651069	0.2208751886
122	0.3370269912	0.2208242706
123	0.3370242575	0.2208037299
124	0.3370248304	0.2207910438
125	0.3370224255	0.2207640571
126	0.3370082134	0.2207541687
127	0.3369891945	0.2207106192
128	0.3369925151	0.2206957782
129	0.3369470906	0.2206644022
130	0.3369368922	0.220653028
131	0.3368974459	0.2206113754
132	0.3368844525	0.2205735153
133	0.3368785396	0.2205440004
134	0.3368781845	0.2205323513
135	0.3368231926	0.2204925628
136	0.3368145013	0.220458635
137	0.336806741	0.2204215401
138	0.3367490875	0.2203700358
139	0.3367426201	0.2203294342
140	0.3367099578	0.2202599382
141	0.3366829771	0.220216399
142	0.3366608792	0.2201881175
143	0.3366366077	0.2201622834
144	0.3365559705	0.2200679704
145	0.3365445578	0.2200419347
146	0.3364904527	0.220002916
147	0.3364532197	0.2199484532
148	0.3364186092	0.2198924557
149	0.3364042514	0.2198632493
150	0.3363619226	0.2198170197
151	0.3363439952	0.2197665623
152	0.3363188864	0.2197300352
153	0.3363214642	0.21971254
154	0.3362622805	0.2196537702
155	0.3362445132	0.2196276996
156	0.3362208014	0.2195912576
157	0.3362166704	0.2195581383
158	0.336192043	0.2195068556
159	0.3362028538	0.2194993182
160	0.3362025046	0.2194904687
161	0.3361965053	0.219475379
162	0.3361397292	0.2194372554
163	0.3361212743	0.2194026029
164	0.3360718604	0.2193588622
165	0.3360577283	0.219332441
166	0.3360491317	0.2193012028
167	0.3360445643	0.2192851931
168	0.3360352147	0.2192584074
169	0.3360170316	0.2192423628
170	0.3359965356	0.219209269
171	0.3359880864	0.2191963125
172	0.3359878527	0.2191727813
173	0.3359580484	0.2191276602
174	0.3359453714	0.219106013
175	0.3359299886	0.2190867553
176	0.3359322324	0.2190536401
177	0.335910993	0.2190259686
178	0.3359076164	0.2190115066
179	0.3359107577	0.2189743401
180	0.3359024765	0.2189304688
181	0.3358945695	0.2189030119
182	0.3358827779	0.2188791519
183	0.3358643423	0.2188383821
184	0.335862646	0.2188205493
185	0.3358528561	0.218796319
186	0.3358316873	0.2187686031
187	0.3358163881	0.2187443484
188	0.3357729809	0.2187154931
189	0.335711646	0.218680359
190	0.3356691885	0.2186605242
191	0.3356524484	0.2186354117
192	0.3356438076	0.2186266509
193	0.3356366697	0.218607045
194	0.3356366963	0.2185877493
195	0.3356358723	0.2185499595
196	0.3355790914	0.2184851378
197	0.3355660664	0.21845103
198	0.3355562473	0.2184306963
199	0.3355431226	0.2183945263
200	0.3355386962	0.2183774353
201	0.3355165723	0.2183417972
202	0.3354937369	0.2183049897
203	0.3354667497	0.2182746981
204	0.3354564491	0.2182497839
205	0.3353963315	0.2182160716
206	0.3354012934	0.2182063169
207	0.3353726339	0.2181691123
208	0.3353645196	0.2181543144
209	0.3353740246	0.2181372584
210	0.3353399412	0.2181085007
211	0.335325628	0.2180837116
212	0.3353224819	0.2180666909
213	0.3353016039	0.2180577776
214	0.3352378838	0.2180042192
215	0.3352051058	0.2179772518
216	0.3352054257	0.2179524151
217	0.3351826385	0.2179090997
218	0.3351063468	0.2178592382
219	0.3350731556	0.2178335584
220	0.3350693557	0.2178200406
221	0.335069326	0.2178100306
222	0.3350739198	0.2177785603
223	0.3349887342	0.2176865373
224	0.3349850937	0.21766838
225	0.3349777289	0.2176529709
226	0.3349627305	0.2176219022
227	0.334936146	0.2175886197
228	0.3349053738	0.2175534841
229	0.3348411386	0.2174957228
230	0.3348149029	0.2174552504
231	0.3348137328	0.2174349802
232	0.3348086798	0.2174199201
233	0.3347873816	0.2173615613
234	0.3347753965	0.2173307014
235	0.3347480212	0.2172816302
236	0.3347412956	0.2172700078
237	0.3347424873	0.2172656782
238	0.3347178856	0.2172163451
239	0.3347092005	0.2171816334
240	0.3347050604	0.2171613402
241	0.3347081151	0.2171487744
242	0.3347037037	0.2171391081
243	0.3346886273	0.2171238689
244	0.3346737694	0.2170885906
245	0.3346259856	0.217053972
246	0.3346133374	0.2170158345
247	0.3346133188	0.2169981529
248	0.3346010382	0.2169626418
249	0.3345955846	0.2169392669
250	0.3345700607	0.2169039374
251	0.3345670605	0.2168888879
252	0.3345576147	0.2168504141
253	0.3345502698	0.2168401899
254	0.3345535772	0.2168211371
255	0.3345476769	0.2167983782
256	0.3345461897	0.2167813082
257	0.3345460335	0.2167765326
258	0.3345397521	0.216759193
259	0.3345329999	0.2167390064
260	0.3345288276	0.2167270253
261	0.3345155401	0.2167000985
262	0.334502049	0.216687497
263	0.334493321	0.216675864
264	0.3344568299	0.2166280644
265	0.3344147984	0.2165898597
266	0.3344137429	0.2165773301
267	0.3344101708	0.2165633451
268	0.3343916221	0.2165372323
269	0.3343892443	0.2165337078
270	0.3343709979	0.2165074187
271	0.3343632215	0.2164906875
272	0.3343614965	0.2164763831
273	0.334357491	0.2164612087
274	0.3343404136	0.2164440423
275	0.3343380197	0.2164331393
276	0.3343137628	0.2164169101
277	0.3343003525	0.2163971966
278	0.3342922687	0.2163826156
279	0.3343020365	0.216370781
280	0.3342990847	0.2163578549
281	0.3342852434	0.2163446739
282	0.3342772917	0.2163279642
283	0.3342709441	0.2163129991
284	0.3342712533	0.2163068449
285	0.3342693094	0.2163015436
286	0.3342667269	0.2162880098
287	0.3342612216	0.2162712458
288	0.3342596375	0.2162551748
289	0.3342668652	0.2162437982
290	0.3341930093	0.2162088372
291	0.3341894398	0.2162042372
292	0.3341883603	0.2161995387
293	0.3341769604	0.216170829
294	0.3341830911	0.2161598138
295	0.3341741738	0.2161400244
296	0.3341689443	0.2161238918
297	0.3341634363	0.2161181372
298	0.3341581719	0.2161034643
299	0.3341476788	0.216084784
