iter	Passed	Remaining
0	7	2105
1	13	1979
2	19	1960
3	25	1851
4	31	1831
5	36	1806
6	42	1789
7	48	1780
8	54	1762
9	60	1765
10	67	1762
11	72	1739
12	78	1736
13	84	1731
14	90	1719
15	96	1707
16	101	1696
17	107	1685
18	113	1673
19	118	1662
20	124	1658
21	130	1645
22	135	1634
23	141	1632
24	147	1625
25	152	1607
26	158	1599
27	163	1589
28	168	1577
29	173	1564
30	179	1556
31	184	1546
32	190	1540
33	195	1527
34	201	1526
35	205	1509
36	211	1500
37	216	1491
38	221	1481
39	226	1472
40	232	1467
41	237	1461
42	243	1455
43	249	1448
44	254	1441
45	260	1437
46	266	1432
47	271	1425
48	276	1418
49	280	1402
50	285	1394
51	293	1400
52	298	1391
53	303	1383
54	308	1375
55	315	1375
56	320	1368
57	326	1361
58	332	1356
59	338	1352
60	343	1347
61	349	1342
62	355	1335
63	360	1330
64	365	1321
65	370	1312
66	375	1304
67	380	1298
68	385	1291
69	390	1283
70	396	1278
71	401	1271
72	406	1262
73	412	1260
74	417	1253
75	422	1245
76	428	1242
77	433	1234
78	438	1226
79	444	1223
80	449	1215
81	454	1207
82	460	1202
83	465	1196
84	469	1187
85	475	1184
86	480	1177
87	485	1169
88	490	1164
89	495	1156
90	500	1149
91	505	1143
92	510	1135
93	515	1128
94	519	1122
95	524	1115
96	529	1107
97	534	1101
98	539	1094
99	543	1087
100	548	1080
101	553	1074
102	557	1067
103	562	1060
104	567	1053
105	572	1047
106	576	1040
107	582	1034
108	586	1028
109	591	1021
110	596	1016
111	601	1009
112	606	1003
113	611	997
114	616	992
115	622	987
116	628	983
117	634	978
118	639	972
119	644	966
120	650	961
121	655	955
122	659	949
123	665	944
124	670	938
125	675	932
126	680	926
127	685	921
128	690	915
129	695	909
130	701	904
131	706	898
132	710	892
133	716	887
134	721	881
135	726	875
136	731	870
137	736	864
138	741	859
139	746	853
140	752	848
141	757	842
142	762	836
143	767	831
144	772	826
145	777	820
146	783	815
147	788	809
148	793	804
149	798	798
150	802	792
151	808	786
152	812	780
153	817	774
154	822	769
155	826	763
156	831	757
157	836	751
158	841	745
159	845	739
160	850	734
161	855	728
162	861	724
163	866	718
164	872	713
165	877	707
166	882	702
167	887	697
168	892	691
169	896	685
170	902	680
171	908	675
172	913	670
173	917	664
174	923	659
175	928	653
176	933	648
177	939	643
178	945	639
179	950	633
180	955	628
181	962	623
182	966	618
183	971	612
184	978	608
185	984	603
186	989	597
187	996	593
188	1001	587
189	1008	583
190	1013	578
191	1018	572
192	1024	567
193	1028	562
194	1033	556
195	1039	551
196	1044	546
197	1049	540
198	1054	534
199	1058	529
200	1063	523
201	1068	518
202	1073	513
203	1078	507
204	1084	502
205	1089	496
206	1093	491
207	1100	486
208	1106	481
209	1111	476
210	1117	471
211	1122	465
212	1127	460
213	1132	455
214	1137	449
215	1142	444
216	1147	439
217	1152	433
218	1157	428
219	1162	422
220	1167	417
221	1172	411
222	1177	406
223	1183	401
224	1188	396
225	1193	390
226	1199	385
227	1205	380
228	1210	375
229	1216	370
230	1221	364
231	1226	359
232	1232	354
233	1237	348
234	1241	343
235	1247	338
236	1251	332
237	1256	327
238	1261	321
239	1266	316
240	1271	311
241	1276	305
242	1281	300
243	1286	295
244	1291	290
245	1296	284
246	1302	279
247	1306	273
248	1312	268
249	1317	263
250	1321	258
251	1326	252
252	1331	247
253	1336	242
254	1343	237
255	1347	231
256	1352	226
257	1357	220
258	1362	215
259	1367	210
260	1373	205
261	1378	199
262	1383	194
263	1389	189
264	1394	184
265	1399	178
266	1404	173
267	1409	168
268	1414	162
269	1419	157
270	1424	152
271	1429	147
272	1434	141
273	1439	136
274	1445	131
275	1449	126
276	1454	120
277	1460	115
278	1465	110
279	1469	104
280	1475	99
281	1480	94
282	1485	89
283	1491	84
284	1495	78
285	1500	73
286	1505	68
287	1510	62
288	1515	57
289	1520	52
290	1525	47
291	1530	41
292	1535	36
293	1540	31
294	1544	26
295	1549	20
296	1554	15
297	1559	10
298	1564	5
299	1568	0
